,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
384,priladozhskiy,2,IN,1579573759,72,10.23,77.48,71.83,2.8
385,paignton,100,RU,1579573760,93,58.36,82.83,-0.06,10.33
386,hatillo,0,AU,1579573762,38,-34.2,142.15,75.99,5.82
387,bodden town,75,AR,1579573763,94,-33.13,-64.35,71.6,3.36
388,kaduqli,0,RU,1579573764,90,57.13,73.83,-8.54,3.27
389,saint-andre-les-vergers,40,IL,1579573765,76,29.56,34.95,53.6,3.29
390,avera,0,NP,1579573766,41,27.37,87.2,39.67,2.59
391,vostok,100,PH,1579573767,75,12.18,125.51,77.72,9.35
392,troitsko-pechorsk,100,TZ,1579573768,93,-5.42,38.02,70.45,6.44
393,gwanda,0,SA,1579573770,57,21.43,39.83,60.91,3.83
394,kolondieba,0,MX,1579573771,70,16.23,-94.65,77.05,40.51
395,olinda,20,PE,1579573772,76,-13.33,-71.95,51.8,2.24
396,olafsvik,67,IN,1579573773,48,23.92,87.53,63.41,5.97
397,seoul,88,IR,1579573679,85,35.57,53.4,32.04,1.92
398,saldanha,15,ID,1579573775,76,-5.67,132.75,83.79,15.12
399,sao gabriel da cachoeira,0,AU,1579573777,63,-37.88,147.98,75.99,3.0
400,natchitoches,100,RU,1579573778,75,66.42,112.4,-14.8,6.71
401,port lincoln,45,TM,1579573779,82,39.24,55.52,26.55,4.63
402,talnakh,38,AU,1579573780,28,-25.24,130.99,95.0,16.11
403,vila velha,71,CD,1579573781,35,4.28,21.02,64.17,3.71
404,amapa,90,NL,1579573782,93,53.25,6.75,39.2,11.41
405,kroya,40,VE,1579573783,74,7.77,-72.22,80.6,2.24
406,nizhniy kuranakh,0,OM,1579573784,70,22.57,59.53,64.31,3.51
407,kabare,0,ZA,1579573785,88,-33.46,18.73,68.0,2.24
408,kupang,90,EE,1579573787,86,58.0,25.93,42.01,25.28
409,palabuhanratu,40,TH,1579573788,74,8.35,100.2,84.2,10.29
410,zharkent,0,NC,1579573730,77,-20.23,164.02,78.19,14.0
411,port augusta,80,AR,1579573790,92,-38.55,-58.74,64.99,8.01
412,teseney,3,CA,1579573791,77,66.15,-65.71,-18.27,5.7
413,douentza,1,US,1579573213,77,43.31,-73.64,17.6,2.42
414,kutum,100,RU,1579573793,88,54.43,31.9,34.83,15.19
415,penzance,6,NZ,1579573794,70,-35.62,174.5,80.01,13.0
416,evanston,100,CG,1579573795,98,-3.68,13.35,69.87,1.57
417,baboua,0,NA,1579573797,93,-26.65,15.16,62.6,2.24
418,kodaikanal,3,CA,1579573605,90,46.38,-75.97,1.9,4.41
419,togur,77,MX,1579573799,63,27.98,-114.06,62.98,9.75
420,mildura,5,MX,1579573763,64,22.89,-109.91,71.6,4.7
421,port-de-paix,0,RU,1579573801,87,48.6,133.82,1.44,10.07
422,rio cuarto,0,CN,1579573802,79,46.56,131.42,12.24,8.32
423,znamenskoye,50,RU,1579573803,98,67.63,134.63,-27.08,1.7
424,elat,0,PG,1579573805,79,-5.22,145.8,83.43,18.48
425,khandbari,99,BR,1579573806,83,-18.51,-54.76,78.6,1.7
426,san policarpo,0,AU,1579573807,69,-20.74,116.85,86.83,14.58
427,chanika,1,CZ,1579573808,95,48.84,14.64,30.0,1.99
428,mecca,100,RU,1579573809,94,64.9,45.76,16.75,10.2
429,san francisco del mar,12,AU,1579573774,65,-38.27,141.97,58.26,5.88
430,gangotri,0,GB,1579573811,100,50.78,-0.68,36.0,1.12
431,subaytilah,1,DE,1579573813,100,50.32,11.92,27.0,3.42
432,calca,100,ID,1579573814,73,5.56,95.32,81.84,6.38
433,siuri,46,BR,1579573815,98,-24.79,-50.01,62.62,6.6
434,semnan,75,IT,1579573816,76,40.57,9.69,57.2,21.92
435,tual,100,NO,1579573817,65,62.58,6.13,44.6,19.46
436,lakes entrance,0,MV,1579573807,81,2.67,72.89,82.58,14.07
437,udachnyy,10,ER,1579573819,78,13.93,41.69,72.86,2.55
438,gazanjyk,28,NG,1579573821,27,7.37,7.63,76.08,3.69
439,yulara,0,GB,1579573822,100,51.38,1.39,37.99,2.24
440,gbadolite,13,SS,1579573823,27,8.46,25.68,56.46,5.17
441,groningen,75,JP,1579573824,81,35.55,133.23,46.4,5.82
442,san cristobal,100,RU,1579573825,92,50.16,40.38,28.72,11.01
443,sur,0,NZ,1579573826,59,-35.93,173.88,72.68,9.19
444,malmesbury,20,FR,1579573262,84,48.85,2.35,36.0,9.17
445,torva,33,CM,1579573829,37,7.32,13.58,63.68,4.03
446,pak phanang,75,IE,1579573830,80,51.55,-9.27,41.0,5.82
447,poum,75,CA,1579573831,64,50.05,-110.67,37.0,17.22
448,necochea,20,BR,1579573832,69,-20.44,-54.86,80.6,6.93
449,pangnirtung,100,GL,1579573833,56,60.72,-46.03,32.0,21.92
450,glens falls,20,ES,1579573834,87,39.89,4.27,57.2,24.16
451,sobolevo,100,NO,1579573835,81,59.23,11.2,45.0,17.22
452,ngunguru,5,MX,1579573836,83,19.22,-104.7,82.4,4.14
453,umm durman,90,US,1579573837,84,43.21,-75.46,19.0,5.82
454,sibiti,100,RU,1579573839,99,62.88,152.43,-23.76,1.01
455,luderitz,88,VE,1579573840,81,10.06,-72.55,77.49,7.99
456,maniwaki,90,CA,1579573583,79,45.62,-62.0,21.0,10.29
457,rungata,100,BR,1579573842,92,-10.44,-62.47,75.7,2.68
458,guerrero negro,52,KE,1579573843,96,-4.14,39.32,74.19,3.31
459,cabo san lucas,0,SV,1579573844,74,13.59,-89.83,73.0,11.01
460,smidovich,86,GA,1579573845,79,-3.43,10.66,82.76,13.6
461,alotau,100,RU,1579573846,94,58.69,99.18,-1.95,11.68
462,baoshan,0,PE,1579573848,77,-4.27,-81.21,71.31,6.73
463,batagay,0,SO,1579573849,77,4.12,43.89,69.55,15.59
464,madang,100,RU,1579573850,89,58.0,102.66,-2.02,10.94
465,coxim,6,CV,1579573851,60,14.92,-23.51,68.0,9.17
466,karratha,43,PH,1579573852,69,9.49,125.44,79.5,15.46
467,kazalinsk,75,MY,1579573853,83,3.17,113.03,84.2,5.82
468,trhove sviny,100,PT,1579573854,72,39.05,-27.98,59.79,17.09
469,leshukonskoye,0,CN,1579573855,86,45.3,130.28,7.32,5.61
470,codrington,20,AU,1579573811,52,-35.57,138.62,75.0,14.99
471,bognor regis,75,BB,1579573858,78,13.22,-59.52,78.8,19.46
472,hof,40,JP,1579573779,48,33.73,135.98,51.8,17.22
473,banda aceh,100,RU,1579573860,95,53.78,82.31,-5.03,4.03
474,castro,75,NC,1579573861,62,-20.57,164.28,79.74,2.1
475,siniscola,100,BR,1579573862,81,-0.61,-47.36,81.36,16.55
476,roald,67,IN,1579573863,37,21.78,87.75,68.2,9.37
477,kudahuvadhoo,90,US,1579573864,68,39.45,-86.18,27.0,3.36
478,mahadday weyne,1,US,1579573865,72,40.57,-79.76,21.2,3.36
479,samusu,100,RU,1579573866,94,59.22,39.89,33.21,14.47
480,edd,83,BR,1579573868,96,-20.97,-46.12,66.18,4.43
481,ankpa,100,GN,1579573627,74,9.54,-13.68,76.5,4.23
482,margate,18,RU,1579573771,90,61.92,63.02,-0.94,9.84
483,raga,100,ID,1579573871,55,0.54,123.06,87.96,2.68
484,sakaiminato,21,GR,1579573872,86,37.72,20.83,43.0,10.27
485,verkhniy mamon,100,TZ,1579573873,97,-7.99,38.76,74.68,2.06
486,dargaville,33,PL,1579573874,91,53.11,19.05,37.0,1.01
487,armacao dos buzios,90,TR,1579573875,100,36.96,36.2,42.01,1.12
488,paris,99,RU,1579573876,100,70.02,135.6,-29.96,6.53
489,ngaoundere,59,BR,1579573878,81,-14.41,-56.45,75.31,2.62
490,skibbereen,0,PT,1579573879,64,38.71,-8.97,48.0,14.99
491,medicine hat,75,VN,1579573723,79,17.48,106.6,73.04,6.11
492,terenos,100,RU,1579573881,83,66.03,60.17,0.64,9.01
493,qaqortoq,10,CN,1579573882,42,36.62,101.77,22.82,5.46
494,mao,100,CN,1579573883,74,19.91,109.69,72.19,11.83
495,skjeberg,93,RU,1579573884,76,66.8,65.81,1.36,5.66
496,san patricio,100,CN,1579573885,74,35.02,110.99,34.84,7.02
497,roma,98,RU,1579573801,96,63.92,127.47,-20.6,4.76
498,babanusah,66,CA,1579573804,76,51.23,-58.65,2.88,9.64
499,seymchan,47,RU,1579573889,82,59.7,150.17,-5.51,7.18
500,machiques,63,RU,1579573890,100,64.57,143.2,-40.52,2.01
501,antigonish,18,SB,1579573891,66,-8.14,159.59,86.99,9.62
502,kamenskoye,97,MX,1579573893,75,20.87,-90.4,71.31,25.61
503,jaru,1,ZA,1579573894,89,-27.28,27.97,55.06,9.15
504,kinango,1,US,1579573716,64,36.68,-101.48,37.99,5.82
505,acajutla,100,RU,1579573896,98,68.05,166.44,-28.88,2.93
506,mayumba,100,ZM,1579573897,95,-13.51,28.16,64.72,0.98
507,kodinsk,100,RU,1579573898,95,62.55,155.55,-22.22,4.72
508,zachagansk,36,TZ,1579573899,84,-5.25,39.77,81.66,18.81
509,el alto,0,QA,1579573674,77,25.29,51.53,62.6,9.17
510,xuddur,98,PK,1579573902,90,33.54,70.35,36.64,2.42
511,ust-ilimsk,40,RU,1579573903,86,48.04,40.05,30.2,4.47
512,praia,83,GA,1579573904,76,-0.72,8.78,82.6,10.27
513,cantapoy,75,PH,1579573905,88,15.03,120.61,81.0,4.7
514,bintulu,65,VE,1579573906,95,9.75,-63.18,71.73,5.01
515,lagoa,80,CA,1579573825,91,51.23,-101.36,13.32,12.03
516,linkou,1,US,1579573908,67,31.6,-94.63,44.01,3.53
517,victor harbor,90,CA,1579573909,85,54.15,-115.69,12.2,5.82
518,bathsheba,75,US,1579573911,69,21.4,-157.74,78.8,11.41
519,shingu,0,CL,1579573864,63,-41.87,-73.82,60.8,9.17
520,suzun,80,CF,1579573913,25,6.54,21.99,62.6,6.44
521,koumac,0,SA,1579573893,60,25.02,37.27,54.7,4.9
522,salinopolis,100,VE,1579573915,72,10.18,-70.08,71.55,1.54
523,contai,100,AO,1579573916,97,-9.66,20.39,64.11,2.66
524,bud,99,RU,1579573917,97,65.53,72.52,-7.56,8.86
525,new kensington,100,GA,1579573918,97,-1.22,10.58,73.98,0.98
526,vologda,90,RU,1579573919,100,52.99,58.1,23.0,2.24
527,carmo do rio claro,78,MX,1579573921,74,18.97,-91.18,73.2,9.51
528,wa,90,RU,1579573922,94,63.86,57.31,1.78,9.19
529,conakry,20,BJ,1579573841,83,6.5,2.6,78.8,3.36
530,agirish,100,AO,1579573924,73,-12.58,13.41,79.84,1.25
531,gorontalo,99,CN,1579573925,94,49.2,119.7,4.01,5.84
532,lithakia,94,BR,1579573926,95,-2.76,-42.27,75.27,3.78
533,utete,10,ID,1579573928,70,-5.11,105.31,85.6,10.09
534,golub-dobrzyn,5,MX,1579573930,83,15.74,-96.47,80.6,6.4
535,erzin,100,CN,1579573931,91,42.8,93.45,10.98,3.74
536,ust-kuyga,71,JP,1579573806,73,42.33,142.37,25.99,13.51
537,diamantino,100,RU,1579573933,99,66.27,33.05,33.71,7.74
538,montijo,40,BR,1579573934,83,-15.86,-38.88,78.8,8.05
539,dong hoi,75,PL,1579573935,83,51.42,21.97,33.01,14.99
540,inta,75,US,1579573695,62,42.61,-83.15,21.99,4.74
541,xining,43,IR,1579573937,82,34.09,49.69,25.25,4.05
542,lingao,100,MG,1579573938,94,-20.28,44.28,75.0,4.43
543,kharp,26,CL,1579573940,91,-25.4,-70.48,61.7,0.51
544,yuncheng,75,MU,1579573941,88,-20.01,57.66,80.01,10.78
545,sangar,93,IN,1579573942,92,34.17,77.58,-3.87,3.89
546,saint-augustin,86,CM,1579573943,97,3.65,10.77,69.57,2.8
